,eventid,iyear,extended,country,region,city,latitude,longitude,crit1,crit2,crit3,multiple,success,suicide,attack_type,target_type,target_nationality,group_name,nperps,nperpcap,weapon_type,nkill,nkillus,nwound,propvalue,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,hostkidoutcome,hostkidoutcome_txt,nreleased,date,ones
17,1.97E+11,2012,0,Ethiopia,Sub-Saharan Africa,Unknown,NA,NA,1,1,0,0,1,0,Unknown,Government,Ethiopia,Eritrean Liberation Front,1,NA,Unknown,1,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,1/11/2012,1
133,1.97E+11,2016,1,Ethiopia,Sub-Saharan Africa,Unknown,NA,NA,1,1,1,0,1,0,Spray_Structures_found,Public services,Ethiopia,Eritrean Liberation Front,NA,NA,Unknown,0,NA,0,0,1,5,1,0,17,,Ethiopia,1,0,NA,NA,NA,2,Hostage(s) released by perpetrators,5,3/14/2016,1
166,1.97E+11,2016,1,Ethiopia,Sub-Saharan Africa,Unknown,NA,NA,1,1,1,0,1,0,Spray_Structures_found,Government,Ethiopia,Eritrean Liberation Front,NA,NA,Unknown,0,NA,0,0,1,1,1,0,5,,Ethiopia,0,NA,NA,NA,NA,2,Hostage(s) released by perpetrators,1,NA,1
669,1.97E+11,2016,0,Zambia,Sub-Saharan Africa,Unknown,NA,NA,1,1,1,0,1,0,Spray_Structures_found,Government,Zambia,Revolutionary Committee of Mozambique (COREMO),NA,NA,Unknown,375,NA,0,0,1,5,0,NA,NA,,Zambia,0,NA,NA,NA,NA,NA,.,NA,3/14/2016,1
680,1.97E+11,2016,0,Ethiopia,Sub-Saharan Africa,Bahar Dar,11.583513,37.397019,1,1,1,0,1,0,IRS_pop_Not_protected,Public services,Ethiopia,Eritrean Liberation Front,4,NA,Unknown,0,0,0,0,1,NA,0,NA,NA,Libya,Libya,0,NA,NA,NA,NA,NA,.,NA,3/14/2016,1
1646,1.97E+11,2016,1,Ethiopia,Sub-Saharan Africa,Unknown,15.027339,39.782691,1,1,1,0,1,0,Spray_Structures_found,Private property,Ethiopia,Eritrean Liberation Front,NA,NA,Unknown,0,NA,0,0,1,2,0,0,12,,Ethiopia,0,NA,NA,NA,NA,2,Hostage(s) released by perpetrators,2,3/14/2016,1
1698,1.97E+11,2016,1,Sudan,Sub-Saharan Africa,Khartoum,15.500747,32.560083,1,1,1,0,1,0,Spray_Structures_found,Government,Sudan,Black September,8,NA,Firearms,3,2,NA,0,1,10,2,0,2,,,0,NA,NA,NA,NA,NA,.,NA,3/14/2016,1
1946,1.97E+11,2016,0,Zambia,Sub-Saharan Africa,Lusaka,-15.415393,28.284354,1,1,1,0,1,0,Sprayed_Structures,Government,Zambia,Unknown,NA,NA,Bombs,375,NA,0,0,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/14/2016,1
2223,1.97E+11,2016,0,Ethiopia,Sub-Saharan Africa,Asmara,15.333513,38.933652,1,1,1,0,1,0,IRS_Coverage,Private property,Ethiopia,Eritrean Liberation Front,NA,NA,Firearms,2,NA,NA,3.00E+06,0,NA,NA,NA,NA,,,0,NA,NA,NA,NA,NA,.,NA,3/14/2016,1
2230,1.97E+11,2016,0,Ethiopia,Sub-Saharan Africa,Unknown,NA,NA,1,1,1,0,1,0,Spray_Structures_found,Private property,Ethiopia,Eritrean Liberation Front,NA,NA,Unknown,NA,NA,NA,0,1,3,3,NA,NA,,Ethiopia,0,NA,NA,NA,NA,NA,.,NA,3/14/2016,1
